date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:23	23095/23095	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:39:28%20GMT	https://demo.dashboardpack.com/cryptocurrency-html/Refound.html	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/Refound.html	(from )
11:15:23	243/243	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2005:45:23%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
11:15:24	1031/1031	---M--	200	added ('OK')	image/png	etag:%22632db6e1-407%22	https://demo.dashboardpack.com/cryptocurrency-html/img/mini_logo.png	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/img/mini_logo.png	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:24	155851/155851	---MCZ	200	added ('OK')	text/css	etag:W/%22632db6b9-260cb%22	https://demo.dashboardpack.com/cryptocurrency-html/css/bootstrap1.min.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/css/bootstrap1.min.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:24	13847/13847	---MCZ	200	added ('OK')	text/css	etag:W/%22632db76b-446c%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/themefy_icon/themify-icons.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/themefy_icon/themify-icons.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:24	5238/5238	---MCZ	200	added ('OK')	text/css	etag:W/%22632db760-1b8f%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/niceselect/css/nice-select.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/niceselect/css/nice-select.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:24	3261/3261	---MCZ	200	added ('OK')	text/css	etag:W/%22632db762-1342%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/owl_carousel/css/owl.carousel.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/owl_carousel/css/owl.carousel.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:25	54081/54081	---MCZ	200	added ('OK')	text/css	etag:W/%22632db754-d341%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/gijgo/gijgo.min.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/gijgo/gijgo.min.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:25	55970/55970	---MCZ	200	added ('OK')	text/css	etag:W/%22632db754-daa2%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/font_awesome/css/all.min.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/font_awesome/css/all.min.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
11:15:25	1769/1769	---MCZ	200	added ('OK')	text/css	etag:W/%22632db767-921%22	https://demo.dashboardpack.com/cryptocurrency-html/vendors/tagsinput/tagsinput.css	C:/My%20Web%20Sites/projrct1music/demo.dashboardpack.com/cryptocurrency-html/vendors/tagsinput/tagsinput.css	(from https://demo.dashboardpack.com/cryptocurrency-html/Refound.html)
